Metric,Segment,Budget_Value,Forecast_Value,Variance,Abs_Variance,Total_Variance_Pct
ClosingGBV,Near Prime Medium,1066704857.6822665,970193262.3399999,-96511595.34226644,96796170.93597662,-9.04763812100441
ClosingGBV,Near Prime Small,354836126.21271044,325842067.7,-28994058.512710433,30419889.15012158,-8.171112344781273
ClosingGBV,Non Prime,956156866.6707072,875460885.9,-80695980.77070723,86681535.84967099,-8.43961734560217
ClosingGBV,Prime,26892705.426468525,16565180.59,-10327524.836468523,10327524.836468523,-38.40269944095657
ClosingGBV,Total,2404590555.9921527,2188061396.53,-216529159.46215263,223602202.14607915,-9.0048244979824
ClosingNBV,Near Prime Medium,929198158.3217496,897038258.61,-32159899.7117496,38989486.34871541,-3.4610378231737404
ClosingNBV,Near Prime Small,302553293.3305116,302124929.25,-428364.0805116445,10707117.272155933,-0.14158301692775987
ClosingNBV,Non Prime,753916153.583648,723874131.39,-30042022.193647943,52379319.367512845,-3.9847961939596166
ClosingNBV,Prime,20511134.864683658,13994559.31,-6516575.554683656,6516575.554683656,-31.770916615169753
ClosingNBV,Total,2006178740.1005929,1937031878.56,-69146861.54059286,105000248.20334269,-3.446694960845098
Collections,Near Prime Medium,40889896.30301014,48585638.87,7695742.566989857,9371698.749439016,18.8206458386722
Collections,Near Prime Small,23002396.043904357,25167298.27,2164902.226095642,4284819.666494349,9.411637909213999
Collections,Non Prime,74406875.93932216,78120929.27,3714053.330677838,15358631.669610925,4.991545853513046
Collections,Prime,1921375.137349246,2547624.0,626248.8626507539,736455.2086947657,32.59378402880424
Collections,Total,140220543.4235859,154421490.41,14200946.986414088,28749906.458516277,10.127579482783133
DebtSaleGain,Near Prime Medium,0.0,113939.09,113939.09,113939.09,
DebtSaleGain,Near Prime Small,0.0,40266.57,40266.57,40266.57,
DebtSaleGain,Non Prime,0.0,193529.85,193529.85,193529.85,
DebtSaleGain,Prime,0.0,7149.33,7149.33,7149.33,
DebtSaleGain,Total,0.0,354884.83999999997,354884.83999999997,354884.83999999997,
GrossImpairment,Near Prime Medium,-9396602.39673761,-5894241.82,3502360.5767376116,7501690.543601354,-37.272627156743255
GrossImpairment,Near Prime Small,-2814800.9094874654,-954880.99,1859919.9194874652,1977018.8958405678,-66.07642882373979
GrossImpairment,Non Prime,-16540640.456327416,-5444260.77,11096379.686327416,12681295.019018134,-67.08555037893127
GrossImpairment,Prime,-3698.7480681870147,157556.88,161255.628068187,386611.7343290137,-4359.735377901215
GrossImpairment,Total,-28755742.51062068,-12135826.7,16619915.810620677,17395788.159876112,-57.79685850393973
NetImpairment,Near Prime Medium,-9396602.39673761,-5780302.78,3616299.6167376116,7449009.043601355,-38.48518287836833
NetImpairment,Near Prime Small,-2814800.9094874654,-914614.38,1900186.529487465,1983283.0258405677,-67.50696019326858
NetImpairment,Non Prime,-16540640.456327416,-5250730.859999999,11289909.596327417,12874824.929018134,-68.25557708080525
NetImpairment,Prime,-3698.7480681870147,164706.19999999998,168404.948068187,384397.3543290137,-4553.025644450899
NetImpairment,Total,-28755742.51062068,-11780941.82,16974800.69062068,17589984.759876113,-59.030994189599475
Revenue,Near Prime Medium,16204240.642982006,15166623.67,-1037616.9729820066,1990275.6777978353,-6.403366846019987
Revenue,Near Prime Small,6336236.0395855205,6092363.06,-243872.97958552017,793948.1833181335,-3.848861975184148
Revenue,Non Prime,28705036.295165807,25686853.83,-3018182.4651658065,4036542.527565547,-10.514470123398167
Revenue,Prime,242205.73570252245,177730.77,-64474.965702522444,64474.965702522444,-26.61991695428334
Revenue,Total,51487718.71343586,47123571.33,-4364147.383435855,6704911.449383708,-8.476093896731584
