Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
2025-11-30,Near Prime Medium,ClosingGBV,106142350.7231449,106284638.52,142287.79685509205,0.1340537456403501
2025-11-30,Near Prime Medium,ClosingNBV,98110771.66251794,95922744.15,-2188027.512517929,-2.2301603335098785
2025-11-30,Near Prime Medium,Collections,4371808.845951251,3968767.38,-403041.46595125087,-9.219100837963424
2025-11-30,Near Prime Medium,GrossImpairment,-797188.6406021544,329580.99,1126769.6306021544,-141.34291097663558
2025-11-30,Near Prime Medium,NetImpairment,-797188.6406021544,329580.99,1126769.6306021544,-141.34291097663558
2025-11-30,Near Prime Medium,Revenue,1659773.550015418,1204178.95,-455594.60001541814,-27.449202333124656
2025-11-30,Near Prime Small,ClosingGBV,38843303.82129443,39556219.14,712915.3187055737,1.8353622080795828
2025-11-30,Near Prime Small,ClosingNBV,35167358.606724516,33363250.78,-1804107.8267245144,-5.1300634969484005
2025-11-30,Near Prime Small,Collections,2768166.629759246,2289707.08,-478459.54975924594,-17.284347864595805
2025-11-30,Near Prime Small,GrossImpairment,-453354.36590264237,-1044311.01,-590956.6440973576,130.35203552539852
2025-11-30,Near Prime Small,NetImpairment,-453354.36590264237,-1044311.01,-590956.6440973576,130.35203552539852
2025-11-30,Near Prime Small,Revenue,730014.9519362088,531391.58,-198623.3719362088,-27.20812380751966
2025-11-30,Non Prime,ClosingGBV,106776768.07051812,109769545.61,2992777.5394818783,2.802835854242547
2025-11-30,Non Prime,ClosingNBV,89926694.50714242,79899557.47,-10027137.037142426,-11.150345391985939
2025-11-30,Non Prime,Collections,8819734.103952989,6145765.7,-2673968.403952989,-30.318016081170985
2025-11-30,Non Prime,GrossImpairment,-1770549.133654641,-6279622.48,-4509073.346345359,254.67089620032476
2025-11-30,Non Prime,NetImpairment,-1770549.133654641,-6279622.48,-4509073.346345359,254.67089620032476
2025-11-30,Non Prime,Revenue,3517194.094535914,2063167.66,-1454026.4345359139,-41.340523026431654
2025-11-30,Prime,ClosingGBV,3214712.28307929,2903252.97,-311459.3130792896,-9.688559524243045
2025-11-30,Prime,ClosingNBV,2552540.679133679,2081196.55,-471344.12913367874,-18.465685306674562
2025-11-30,Prime,Collections,235811.76654129205,401796.60000000003,165984.833458708,70.38869853410942
2025-11-30,Prime,GrossImpairment,-659.4058951998636,43985.270000000004,44644.67589519987,-6770.439303043875
2025-11-30,Prime,NetImpairment,-659.4058951998636,43985.27,44644.67589519986,-6770.439303043874
2025-11-30,Prime,Revenue,28408.91249559851,24471.55,-3937.3624955985106,-13.859603024961054
2025-11-30,Total,ClosingGBV,254977134.89803675,258513656.24,3536521.3419632614,1.3869954823115815
2025-11-30,Total,ClosingNBV,225757365.45551857,211266748.95000002,-14490616.505518556,-6.418668323968224
2025-11-30,Total,Collections,16195521.346204778,12806036.76,-3389484.5862047784,-20.92853026308451
2025-11-30,Total,GrossImpairment,-3021751.5460546375,-6950367.23,-3928615.683945363,130.0112078729562
2025-11-30,Total,NetImpairment,-3021751.5460546375,-6950367.23,-3928615.683945363,130.0112078729562
2025-11-30,Total,Revenue,5935391.508983139,3823209.7399999998,-2112181.768983139,-35.58622486463411
2025-12-31,Near Prime Medium,ClosingGBV,106589876.06889193,102227028.8,-4362847.268891931,-4.093115997313013
2025-12-31,Near Prime Medium,ClosingNBV,96624174.0661499,89296041.02,-7328133.0461499095,-7.584161124247224
2025-12-31,Near Prime Medium,Collections,4248500.422361114,4026264.0599999996,-222236.36236111447,-5.230936572147171
2025-12-31,Near Prime Medium,GrossImpairment,-947703.2680764974,-3577085.84,-2629382.5719235027,277.44787429721754
2025-12-31,Near Prime Medium,NetImpairment,-947703.2680764974,-3545045.5999999996,-2597342.3319235025,274.0670439171524
2025-12-31,Near Prime Medium,Revenue,1714116.5542096249,1252192.9100000001,-461923.64420962473,-26.94820507247342
2025-12-31,Near Prime Small,ClosingGBV,37947752.961424604,37336199.15,-611553.8114246055,-1.6115679156188056
2025-12-31,Near Prime Small,ClosingNBV,33510444.669094056,31243545.6,-2266899.0690940544,-6.764753769993281
2025-12-31,Near Prime Small,Collections,2621046.6956804483,2273166.71,-347879.98568044836,-13.272559632522507
2025-12-31,Near Prime Small,GrossImpairment,-307673.3672196644,-283110.41,24562.957219664415,-7.9834525300747305
2025-12-31,Near Prime Small,NetImpairment,-307673.3672196644,-270933.1,36740.26721966441,-11.941321912804225
2025-12-31,Near Prime Small,Revenue,718410.2564207664,541296.91,-177113.34642076632,-24.653510280208558
2025-12-31,Non Prime,ClosingGBV,103659941.10913292,102936524.21,-723416.8991329223,-0.6978750821122981
2025-12-31,Non Prime,ClosingNBV,84639849.188804,75449639.36,-9190209.828804001,-10.858017726737234
2025-12-31,Non Prime,Collections,8390325.5064549,6492784.27,-1897541.2364549004,-22.615823843724204
2025-12-31,Non Prime,GrossImpairment,-1903967.8301076586,359719.54,2263687.3701076587,-118.89315220098335
2025-12-31,Non Prime,NetImpairment,-1903967.8301076586,423899.81,2327867.6401076587,-122.26402165503136
2025-12-31,Non Prime,Revenue,3380984.730902706,2253322.82,-1127661.910902706,-33.35306133138395
2025-12-31,Prime,ClosingGBV,3090344.8140779724,2431413.7,-658931.1140779722,-21.32225216669128
2025-12-31,Prime,ClosingNBV,2386047.358279273,1497759.37,-888287.9882792728,-37.22843074329726
2025-12-31,Prime,Collections,221072.8869086584,388506.09,167433.20309134162,75.73665203029655
2025-12-31,Prime,GrossImpairment,-551.4768704927753,-196142.46000000002,-195590.98312950725,35466.76090961635
2025-12-31,Prime,NetImpairment,-551.4768704927753,-193449.96,-192898.48312950722,34978.52647149855
2025-12-31,Prime,Revenue,27583.58773802927,24366.88,-3216.7077380292685,-11.661672762004127
2025-12-31,Total,ClosingGBV,251287914.95352745,244931165.85999998,-6356749.093527466,-2.529667650234224
2025-12-31,Total,ClosingNBV,217160515.28232723,197486985.35,-19673529.93232724,-9.059441541087686
2025-12-31,Total,Collections,15480945.511405122,13180721.129999999,-2300224.3814051226,-14.858423083464134
2025-12-31,Total,GrossImpairment,-3159895.942274313,-3696619.17,-536723.227725687,16.98547159560526
2025-12-31,Total,NetImpairment,-3159895.942274313,-3585528.8499999996,-425632.9077256867,13.469839371335123
2025-12-31,Total,Revenue,5841095.129271127,4071179.52,-1769915.6092711273,-30.301092005874995
2026-01-31,Near Prime Medium,ClosingGBV,104541424.56072311,99585126.25,-4956298.310723111,-4.740989833981302
2026-01-31,Near Prime Medium,ClosingNBV,92843928.14899915,84607119.91,-8236808.238999158,-8.871671420214412
2026-01-31,Near Prime Medium,Collections,4131703.1829122147,3919002.92,-212700.26291221473,-5.1480044305189825
2026-01-31,Near Prime Medium,GrossImpairment,-1062926.4896153847,-2048120.07,-985193.5803846153,92.68689697827584
2026-01-31,Near Prime Medium,NetImpairment,-1062926.4896153847,-2048120.07,-985193.5803846153,92.68689697827584
2026-01-31,Near Prime Medium,Revenue,1652933.0787914488,1278201.83,-374731.2487914488,-22.670684832893272
2026-01-31,Near Prime Small,ClosingGBV,37030256.999029145,35632552.75,-1397704.2490291446,-3.77449243483724
2026-01-31,Near Prime Small,ClosingNBV,32167203.230153468,28768852.11,-3398351.120153468,-10.564645909184488
2026-01-31,Near Prime Small,Collections,2485493.124759659,2251873.94,-233619.18475965923,-9.399309232941434
2026-01-31,Near Prime Small,GrossImpairment,-335415.53019349754,-772131.6,-436716.06980650243,130.20150544447532
2026-01-31,Near Prime Small,NetImpairment,-335415.53019349754,-772131.6,-436716.06980650243,130.20150544447532
2026-01-31,Near Prime Small,Revenue,682945.680840938,549312.09,-133633.59084093804,-19.567235666003434
2026-01-31,Non Prime,ClosingGBV,99414297.28841718,98690698.95,-723598.3384171724,-0.7278614426231789
2026-01-31,Non Prime,ClosingNBV,80956063.14712112,66876069.62,-14079993.52712112,-17.392142082716656
2026-01-31,Non Prime,Collections,7839295.719058653,6588516.1899999995,-1250779.5290586539,-15.955253812122393
2026-01-31,Non Prime,GrossImpairment,-2202442.9810385304,-4335143.58,-2132700.5989614697,96.83340805289885
2026-01-31,Non Prime,NetImpairment,-2202442.9810385304,-4335143.58,-2132700.5989614697,96.83340805289885
2026-01-31,Non Prime,Revenue,3178262.5780523345,2364974.81,-813287.7680523344,-25.589067865837688
2026-01-31,Prime,ClosingGBV,2913688.4010498975,2134083.32,-779605.0810498977,-26.756638793941747
2026-01-31,Prime,ClosingNBV,2241828.264505515,1151401.94,-1090426.324505515,-48.64004713340666
2026-01-31,Prime,Collections,207280.88171066728,319609.09,112328.20828933275,54.191301852008664
2026-01-31,Prime,GrossImpairment,-489.6386490896847,-49027.05,-48537.41135091032,9912.90443292191
2026-01-31,Prime,NetImpairment,-489.6386490896847,-49027.05,-48537.41135091032,9912.90443292191
2026-01-31,Prime,Revenue,25924.530376671275,22278.71,-3645.820376671276,-14.063207023229406
2026-01-31,Total,ClosingGBV,243899667.24921936,236042461.27,-7857205.979219347,-3.221491061400572
2026-01-31,Total,ClosingNBV,208209022.79077923,181403443.57999998,-26805579.21077925,-12.874360030840304
2026-01-31,Total,Collections,14663772.908441193,13079002.139999999,-1584770.7684411947,-10.807387555278646
2026-01-31,Total,GrossImpairment,-3601274.639496502,-7204422.3,-3603147.660503498,100.05200994632438
2026-01-31,Total,NetImpairment,-3601274.639496502,-7204422.3,-3603147.660503498,100.05200994632438
2026-01-31,Total,Revenue,5540065.868061392,4214767.44,-1325298.4280613912,-23.92206987468809
2026-02-28,Near Prime Medium,ClosingGBV,102156203.19149563,96055969.41999999,-6100233.77149564,-5.971476602414949
2026-02-28,Near Prime Medium,ClosingNBV,90903857.17097346,78408483.58999999,-12495373.580973476,-13.745702294537377
2026-02-28,Near Prime Medium,Collections,3880683.254208105,5180269.74,1299586.485791895,33.48859983310051
2026-02-28,Near Prime Medium,GrossImpairment,-936194.7289666305,-2670382.56,-1734187.8310333695,185.23794007551845
2026-02-28,Near Prime Medium,NetImpairment,-936194.7289666305,-2670382.56,-1734187.8310333695,185.23794007551845
2026-02-28,Near Prime Medium,Revenue,1402216.900060412,1652015.98,249799.07993958797,17.814582032838565
2026-02-28,Near Prime Small,ClosingGBV,35366772.32232688,33623577.49,-1743194.8323268816,-4.928905630515823
2026-02-28,Near Prime Small,ClosingNBV,30781575.077739533,25895526.3,-4886048.777739532,-15.873290321888046
2026-02-28,Near Prime Small,Collections,2290865.8415494575,2689787.18,398921.33845054265,17.413561772815413
2026-02-28,Near Prime Small,GrossImpairment,-281718.7530588205,-865353.74,-583634.9869411795,207.16937747460545
2026-02-28,Near Prime Small,NetImpairment,-281718.7530588205,-865353.74,-583634.9869411795,207.16937747460545
2026-02-28,Near Prime Small,Revenue,571853.6917412939,681815.12,109961.42825870612,19.228944369297274
2026-02-28,Non Prime,ClosingGBV,94838827.54621516,92101595.5,-2737232.0462151617,-2.8861934684729196
2026-02-28,Non Prime,ClosingNBV,76995011.40856633,58574576.87,-18420434.53856633,-23.924192232169606
2026-02-28,Non Prime,Collections,7445507.400907075,9457714.83,2012207.429092925,27.02579314940685
2026-02-28,Non Prime,GrossImpairment,-1713008.995458935,-1719071.74,-6062.744541065069,0.35392368382984873
2026-02-28,Non Prime,NetImpairment,-1713008.995458935,-1719071.74,-6062.744541065069,0.35392368382984873
2026-02-28,Non Prime,Revenue,2584136.964865295,2885895.33,301758.36513470486,11.677336350104595
2026-02-28,Prime,ClosingGBV,2741116.251477426,1865957.27,-875158.9814774259,-31.92710199743358
2026-02-28,Prime,ClosingNBV,2101029.0746868774,724672.84,-1376356.2346868776,-65.50867150146411
2026-02-28,Prime,Collections,194373.92880907786,288483.63999999996,94109.7111909221,48.41683849656635
2026-02-28,Prime,GrossImpairment,-371.7750784220197,-158603.05000000002,-158231.274921578,42561.02253899926
2026-02-28,Prime,NetImpairment,-371.7750784220197,-158603.05,-158231.27492157798,42561.022538999256
2026-02-28,Prime,Revenue,22012.486868712254,20357.57,-1654.9168687122547,-7.518082252962033
2026-02-28,Total,ClosingGBV,235102919.3115151,223647099.68,-11455819.631515086,-4.87268285100958
