Metric,Segment,Budget_Value,Forecast_Value,Variance,Total_Variance_Pct
ClosingGBV,Near Prime Medium,1066704857.6822665,970193262.3399999,-96511595.34226644,-9.04763812100441
ClosingGBV,Near Prime Small,354836126.21271044,325842067.7,-28994058.512710433,-8.171112344781273
ClosingGBV,Non Prime,956156866.6707072,875460885.9,-80695980.77070723,-8.43961734560217
ClosingGBV,Prime,26892705.426468525,16565180.59,-10327524.836468523,-38.40269944095657
ClosingGBV,Total,2404590555.9921527,2188061396.53,-216529159.46215263,-9.0048244979824
ClosingNBV,Near Prime Medium,929198158.3217496,896045593.61,-33152564.711749554,-3.567868103788252
ClosingNBV,Near Prime Small,302553293.3305116,292664970.75,-9888322.580511648,-3.2682911733205144
ClosingNBV,Non Prime,753916153.583648,726339606.42,-27576547.163647935,-3.657773750113491
ClosingNBV,Prime,20511134.864683658,12756251.540000001,-7754883.324683656,-37.808163106743145
ClosingNBV,Total,2006178740.1005929,1927806422.3200002,-78372317.78059274,-3.906547119359016
Collections,Near Prime Medium,40889896.30301014,48585638.87,7695742.566989857,18.8206458386722
Collections,Near Prime Small,23002396.043904357,25167298.27,2164902.226095642,9.411637909213999
Collections,Non Prime,74406875.93932216,78120929.27,3714053.330677838,4.991545853513046
Collections,Prime,1921375.137349246,2547624.0,626248.8626507539,32.59378402880424
Collections,Total,140220543.4235859,154421490.41,14200946.986414088,10.127579482783133
GrossImpairment,Near Prime Medium,-9396602.39673761,-3564197.24,5832405.156737612,-62.06929814081048
GrossImpairment,Near Prime Small,-2814800.9094874654,-457411.32000000007,2357389.589487465,-83.74978072309605
GrossImpairment,Non Prime,-16540640.456327416,-1955509.4100000001,14585131.046327416,-88.17754720463714
GrossImpairment,Prime,-3698.7480681870147,146338.34,150037.088068187,-4056.4289673756953
GrossImpairment,Total,-28755742.51062068,-5830779.630000001,22924962.880620677,-79.72307747627643
NetImpairment,Near Prime Medium,-9396602.39673761,-3450258.1,5946344.296737611,-63.28185492664999
NetImpairment,Near Prime Small,-2814800.9094874654,-417144.73,2397656.179487465,-85.18031138209501
NetImpairment,Non Prime,-16540640.456327416,-1761979.5,14778660.956327416,-89.34757390651112
NetImpairment,Prime,-3698.7480681870147,153487.68,157186.428068187,-4249.71977464888
NetImpairment,Total,-28755742.51062068,-5475894.65,23279847.860620677,-80.95721350969279
Revenue,Near Prime Medium,16204240.642982006,15166623.67,-1037616.9729820066,-6.403366846019987
Revenue,Near Prime Small,6336236.0395855205,6092363.06,-243872.97958552017,-3.848861975184148
Revenue,Non Prime,28705036.295165807,25686853.83,-3018182.4651658065,-10.514470123398167
Revenue,Prime,242205.73570252245,177730.77,-64474.965702522444,-26.61991695428334
Revenue,Total,51487718.71343586,47123571.33,-4364147.383435855,-8.476093896731584
