Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
1970-01-01 00:00:00.000045961,Near Prime Medium,ClosingGBV,108864844.49405675,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,ClosingNBV,100713582.31913576,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,Collections,4472436.432209402,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,DebtSaleGain,0.0,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,GrossImpairment,-846802.0600000009,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,NetImpairment,-846802.0600000009,,,
1970-01-01 00:00:00.000045961,Near Prime Medium,Revenue,1735937.1604685178,,,
1970-01-01 00:00:00.000045961,Near Prime Small,ClosingGBV,40883744.80035328,,,
1970-01-01 00:00:00.000045961,Near Prime Small,ClosingNBV,37048158.04316998,,,
1970-01-01 00:00:00.000045961,Near Prime Small,Collections,2912791.460396903,,,
1970-01-01 00:00:00.000045961,Near Prime Small,DebtSaleGain,0.0,,,
1970-01-01 00:00:00.000045961,Near Prime Small,GrossImpairment,-229178.5600000001,,,
1970-01-01 00:00:00.000045961,Near Prime Small,NetImpairment,-229178.5600000001,,,
1970-01-01 00:00:00.000045961,Near Prime Small,Revenue,797044.4489837474,,,
1970-01-01 00:00:00.000045961,Non Prime,ClosingGBV,112165914.37440789,,,
1970-01-01 00:00:00.000045961,Non Prime,ClosingNBV,94550628.53225422,,,
1970-01-01 00:00:00.000045961,Non Prime,Collections,9262561.816289032,,,
1970-01-01 00:00:00.000045961,Non Prime,DebtSaleGain,0.0,,,
1970-01-01 00:00:00.000045961,Non Prime,GrossImpairment,-982571.6800000014,,,
1970-01-01 00:00:00.000045961,Non Prime,NetImpairment,-982571.6800000014,,,
1970-01-01 00:00:00.000045961,Non Prime,Revenue,3808577.0221897373,,,
1970-01-01 00:00:00.000045961,Prime,ClosingGBV,3422761.0664403965,,,
1970-01-01 00:00:00.000045961,Prime,ClosingNBV,2720250.7699070624,,,
1970-01-01 00:00:00.000045961,Prime,Collections,251568.11749904556,,,
1970-01-01 00:00:00.000045961,Prime,DebtSaleGain,0.0,,,
1970-01-01 00:00:00.000045961,Prime,GrossImpairment,6155.019999999997,,,
1970-01-01 00:00:00.000045961,Prime,NetImpairment,6155.019999999997,,,
1970-01-01 00:00:00.000045961,Prime,Revenue,31250.02198759594,,,
1970-01-01 00:00:00.000045961,Total,ClosingGBV,265337264.73525834,,,
1970-01-01 00:00:00.000045961,Total,Collections,16899357.826394383,,,
1970-01-01 00:00:00.000045961,Total,DebtSaleGain,0.0,,,
1970-01-01 00:00:00.000045961,Total,GrossImpairment,-2052397.2800000026,,,
1970-01-01 00:00:00.000045961,Total,NetImpairment,-2052397.2800000026,,,
1970-01-01 00:00:00.000045961,Total,Revenue,6372808.653629598,,,
2025-10-31 00:00:00.000000000,Near Prime Medium,ClosingGBV,,109050952.75999999,,
2025-10-31 00:00:00.000000000,Near Prime Medium,ClosingNBV,,103405985.6,,
2025-10-31 00:00:00.000000000,Near Prime Medium,Collections,,3694443.7,,
2025-10-31 00:00:00.000000000,Near Prime Medium,DebtSaleGain,,-0.0,,
2025-10-31 00:00:00.000000000,Near Prime Medium,GrossImpairment,,-894213.72,,
2025-10-31 00:00:00.000000000,Near Prime Medium,NetImpairment,,-894213.72,,
2025-10-31 00:00:00.000000000,Near Prime Medium,Revenue,,1113850.68,,
2025-10-31 00:00:00.000000000,Near Prime Small,ClosingGBV,,41315670.86,,
2025-10-31 00:00:00.000000000,Near Prime Small,ClosingNBV,,39076595.96,,
2025-10-31 00:00:00.000000000,Near Prime Small,Collections,,2201094.4,,
2025-10-31 00:00:00.000000000,Near Prime Small,DebtSaleGain,,-0.0,,
2025-10-31 00:00:00.000000000,Near Prime Small,GrossImpairment,,-1188572.1199999999,,
2025-10-31 00:00:00.000000000,Near Prime Small,NetImpairment,,-1188572.12,,
2025-10-31 00:00:00.000000000,Near Prime Small,Revenue,,503722.35,,
2025-10-31 00:00:00.000000000,Non Prime,ClosingGBV,,113897568.07,,
2025-10-31 00:00:00.000000000,Non Prime,ClosingNBV,,100894278.17,,
2025-10-31 00:00:00.000000000,Non Prime,Collections,,5501388.24,,
2025-10-31 00:00:00.000000000,Non Prime,DebtSaleGain,,-0.0,,
2025-10-31 00:00:00.000000000,Non Prime,GrossImpairment,,-3052126.9099999997,,
2025-10-31 00:00:00.000000000,Non Prime,NetImpairment,,-3052126.91,,
2025-10-31 00:00:00.000000000,Non Prime,Revenue,,1761163.97,,
2025-10-31 00:00:00.000000000,Prime,ClosingGBV,,3280578.02,,
2025-10-31 00:00:00.000000000,Prime,ClosingNBV,,2798450.51,,
2025-10-31 00:00:00.000000000,Prime,Collections,,388052.72000000003,,
2025-10-31 00:00:00.000000000,Prime,DebtSaleGain,,-0.0,,
2025-10-31 00:00:00.000000000,Prime,GrossImpairment,,-119427.79999999999,,
2025-10-31 00:00:00.000000000,Prime,NetImpairment,,-119427.8,,
2025-10-31 00:00:00.000000000,Prime,Revenue,,24963.57,,
2025-10-31 00:00:00.000000000,Total,ClosingGBV,,267544769.70999998,,
2025-10-31 00:00:00.000000000,Total,ClosingNBV,,246175310.23999998,,
2025-10-31 00:00:00.000000000,Total,Collections,,11784979.06,,
2025-10-31 00:00:00.000000000,Total,DebtSaleGain,,0.0,,
2025-10-31 00:00:00.000000000,Total,GrossImpairment,,-5254340.55,,
2025-10-31 00:00:00.000000000,Total,NetImpairment,,-5254340.55,,
2025-10-31 00:00:00.000000000,Total,Revenue,,3403700.57,,
2025-11-30 00:00:00.000000000,Near Prime Medium,ClosingGBV,106142350.7231449,106284638.52,142287.79685509205,0.1340537456403501
2025-11-30 00:00:00.000000000,Near Prime Medium,ClosingNBV,98110771.66251794,101256692.81,3145921.1474820673,3.206499239760774
