Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
Near Prime Medium,ClosingGBV,2984263604.483356,1079244215.1,-1905019389.383356,-63.8354931689474
Near Prime Medium,ClosingNBV,2310366864.316421,1000444244.21,-1309922620.106421,-56.697602460377816
Near Prime Medium,Collections,105646287.8475312,52280082.57,-53366205.2775312,-50.51403732665869
Near Prime Medium,DebtSaleGain,0.0,113939.09,113939.09,inf
Near Prime Medium,GrossImpairment,-24620343.72879215,5000028.1,29620371.828792147,-120.30852272039054
Near Prime Medium,NetImpairment,-24620343.72879215,4886089.0600000005,29506432.78879215,-119.84573860472136
Near Prime Medium,Revenue,43698337.92430979,16280474.35,-27417863.57430979,-62.74349294886334
Near Prime Small,ClosingGBV,891148114.4992104,367157738.56,-523990375.93921036,-58.79947086390593
Near Prime Small,ClosingNBV,682312507.9030223,341201525.21,-341110982.6930223,-49.9933650258548
Near Prime Small,Collections,46966094.829810075,27368392.669999998,-19597702.159810077,-41.727340181945735
Near Prime Small,DebtSaleGain,0.0,40266.57,40266.57,inf
Near Prime Small,GrossImpairment,-5015812.5708505,-233691.12999999995,4782121.4408505,-95.34091183234995
Near Prime Small,NetImpairment,-5015812.5708505,-273957.7400000001,4741854.8308505,-94.53811847770966
Near Prime Small,Revenue,13709770.741116231,6596085.41,-7113685.331116231,-51.887704509762244
Non Prime,ClosingGBV,2302920329.9898686,989358453.97,-1313561876.0198686,-57.038963046787096
Non Prime,ClosingNBV,1471025460.1241934,824768409.56,-646257050.5641935,-43.93241776451866
Non Prime,Collections,159002020.34442097,83622317.51,-75379702.83442096,-47.40801574164769
Non Prime,DebtSaleGain,0.0,193529.85,193529.85,inf
Non Prime,GrossImpairment,-29791341.331391707,2392133.8600000003,32183475.191391706,-108.02962791567683
Non Prime,NetImpairment,-29791341.331391707,2198603.9499999997,31989945.281391706,-107.38000993491114
Non Prime,Revenue,55755597.20851871,27448017.8,-28307579.408518713,-50.77082988215879
Prime,ClosingGBV,53610917.187526084,19845758.61,-33765158.577526085,-62.98187076229016
Prime,ClosingNBV,38479013.4582673,16793009.82,-21686003.6382673,-56.358003205531816
Prime,Collections,3775686.4281866937,2935676.72,-840009.7081866935,-22.24786735243042
Prime,DebtSaleGain,0.0,7149.33,7149.33,inf
Prime,GrossImpairment,1026.0944463387252,-276984.68,-278010.7744463387,-27094.072620539675
Prime,NetImpairment,1026.0944463387252,-284134.0,-285160.0944463387,-27790.823297391107
Prime,Revenue,527543.4072666335,202694.34,-324849.0672666335,-61.577694421351524
Total,ClosingGBV,6231942966.159962,2455606166.24,-3776336799.919962,-60.59645957008636
Total,ClosingNBV,4267151226.1374373,2183207188.7999997,-2083944037.3374376,-48.836892036371374
Total,Collections,315390089.44994897,166206469.47,-149183619.97994897,-47.301302409384604
Total,DebtSaleGain,0.0,354884.83999999997,354884.83999999997,inf
Total,GrossImpairment,-59426471.53658801,6881486.15,66307957.68658801,-111.57983298026228
Total,NetImpairment,-59426471.53658801,6526601.27,65953072.80658801,-110.98264982126975
Total,Revenue,113691249.28121138,50527271.9,-63163977.38121138,-55.55746619071576
