Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,,Stable rate continuation - actuals show consistent collection rates per segment
ALL,ALL,Coll_Interest,0,999,CohortAvg,6,,Stable rate continuation - actuals show consistent ~0.5% interest collection rate
ALL,ALL,InterestRevenue,0,999,CohortAvg,6,,Stable rate continuation - actuals show consistent ~0.83% interest accrual rate
ALL,ALL,WO_DebtSold,0,999,CohortAvg,6,,Continue historical pattern - zero in actuals will forecast zero
ALL,ALL,WO_Other,0,999,CohortAvg,6,,Continue historical pattern - zero in actuals will forecast zero
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,,Stable rate continuation - actuals show consistent ~0.2% settlement rate
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,,Stable rate continuation - actuals show consistent ~0.05% settlement rate
ALL,ALL,NewLoanAmount,0,999,Zero,,,Backbook forecast - no new loan originations
ALL,ALL,Total_Coverage_Ratio,0,999,CohortAvg,6,,Stable coverage continuation - matches actuals without artificial scaling
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,Policy assumption - 78.5% provision coverage for debt sale pool
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Policy assumption - 24p recovery per GBV sold
