Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.927,CALIBRATED v4: Collections calibrated
NON PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.927,CALIBRATED v4: Collections calibrated
NON PRIME,ALL,InterestRevenue,0,999,ScaledCohortAvg,6,1.01,CALIBRATED v4: Revenue calibrated
NON PRIME,ALL,WO_DebtSold,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs for GBV
NON PRIME,ALL,WO_Other,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs for GBV
NRP-S,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.912,CALIBRATED v4: Collections calibrated
NRP-S,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.912,CALIBRATED v4: Collections calibrated
NRP-S,ALL,InterestRevenue,0,999,ScaledCohortAvg,6,0.97,CALIBRATED v4: Revenue calibrated
NRP-S,ALL,WO_DebtSold,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
NRP-S,ALL,WO_Other,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
NRP-M,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.86,CALIBRATED v4: Collections calibrated
NRP-M,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.86,CALIBRATED v4: Collections calibrated
NRP-M,ALL,InterestRevenue,0,999,ScaledCohortAvg,6,0.98,CALIBRATED v4: Revenue calibrated
NRP-M,ALL,WO_DebtSold,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
NRP-M,ALL,WO_Other,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
NRP-L,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.86,CALIBRATED v4: Same as NRP-M
NRP-L,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.86,CALIBRATED v4: Same as NRP-M
NRP-L,ALL,InterestRevenue,0,999,ScaledCohortAvg,6,0.98,CALIBRATED v4: Same as NRP-M
NRP-L,ALL,WO_DebtSold,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
NRP-L,ALL,WO_Other,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.66,CALIBRATED v4: Collections calibrated
PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.66,CALIBRATED v4: Collections calibrated
PRIME,ALL,InterestRevenue,0,999,ScaledCohortAvg,6,0.92,CALIBRATED v4: Revenue calibrated
PRIME,ALL,WO_DebtSold,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
PRIME,ALL,WO_Other,0,999,ScaledCohortAvg,6,0.2,CALIBRATED v4: Reduce writeoffs
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,,Rolling average for settlements
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,,Rolling average for interest settlements
ALL,ALL,NewLoanAmount,0,999,Zero,,,No new loans in backbook forecast
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.85,,Fixed 85% coverage for debt sale pool
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.9,,Fixed 90p per GBV sold
NON PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage to match budget (21.5% target)
NON PRIME,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NON PRIME,ALL,Total_Coverage_Ratio,0,19,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-S,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-S,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-S,ALL,Total_Coverage_Ratio,0,19,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-M,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-M,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-M,ALL,Total_Coverage_Ratio,0,19,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-M,202001,Total_Coverage_Ratio,0,999,Manual,0,,Exception: This cohort has 0 CR historically
NRP-L,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-L,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-L,ALL,Total_Coverage_Ratio,0,19,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
NRP-L,202501,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202502,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202505,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202506,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
PRIME,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
PRIME,ALL,Total_Coverage_Ratio,0,19,ScaledCohortAvg,6,1.4,CALIBRATED v4: Increase coverage
PRIME,202405,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202407,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202409,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,,Fallback: Rolling 6-period average for collections
