Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,
ALL,ALL,Coll_Interest,0,999,CohortAvg,6,
ALL,ALL,InterestRevenue,0,999,CohortAvg,6,
ALL,ALL,WO_DebtSold,0,999,CohortAvg,6,
ALL,ALL,WO_Other,0,999,CohortAvg,6,
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,
ALL,ALL,NewLoanAmount,0,999,Zero,,
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.85,
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.9,
NON PRIME,201912,Total_Coverage_Ratio,0,999,CohortAvg,6,
NON PRIME,202001,Total_Coverage_Ratio,0,999,CohortAvg,6,
NON PRIME,202101,Total_Coverage_Ratio,0,999,CohortAvg,6,
NON PRIME,202201,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202201,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202301,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202301,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202404,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202404,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202405,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202405,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202406,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202406,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202407,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202407,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202408,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202408,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202409,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202409,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202410,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202410,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202411,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202411,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202412,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202412,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202501,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202501,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202502,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202502,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202503,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202503,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202504,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202504,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202505,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202505,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202506,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202506,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202507,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202507,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202508,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202508,Total_Coverage_Ratio,70,999,CohortAvg,6,
NON PRIME,202509,Total_Coverage_Ratio,0,69,DonorCohort,201912,
NON PRIME,202509,Total_Coverage_Ratio,70,999,CohortAvg,6,
NRP-M,202001,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-M,202101,Total_Coverage_Ratio,0,999,CohortAvg,6,
NRP-M,202201,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202201,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202301,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202301,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202404,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202404,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202405,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202405,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202406,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202406,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202407,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202407,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202408,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202408,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202409,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202409,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202410,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202410,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202411,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202411,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202412,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202412,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202501,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202501,Total_Coverage_Ratio,57,999,CohortAvg,6,
NRP-M,202502,Total_Coverage_Ratio,0,56,DonorCohort,202101,
NRP-M,202502,Total_Coverage_Ratio,57,999,CohortAvg,6,
