Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,,Default: Rolling average of last 6 MOBs for collection rates
ALL,ALL,Coll_Interest,0,999,CohortAvg,6,,Default: Rolling average of last 6 MOBs for interest collections
ALL,ALL,InterestRevenue,0,999,CohortAvg,6,,Default: Rolling average of last 6 MOBs for interest accrual
ALL,ALL,WO_DebtSold,0,999,CohortAvg,6,,Default: Rolling average for debt sale writeoffs
ALL,ALL,WO_Other,0,999,CohortAvg,6,,Default: Rolling average for other writeoffs
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,,Default: Rolling average for principal settlements
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,,Default: Rolling average for interest settlements
ALL,ALL,NewLoanAmount,0,999,Zero,,,No new loans in backbook forecast
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.85,,Fixed assumption: 85% coverage for debt sale pool
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.9,,Fixed assumption: 90p per GBV sold
NON PRIME,201912,Total_Coverage_Ratio,0,999,CohortAvg,6,,Mature cohort stabilized at ~100% CR - use rolling average to maintain plateau
NON PRIME,202001,Total_Coverage_Ratio,0,999,CohortAvg,6,,Mature clustered cohort at ~100% CR - use rolling average to maintain plateau
NON PRIME,202101,Total_Coverage_Ratio,0,999,CohortAvg,6,,Mature clustered cohort reached 100% CR plateau - rolling average maintains stability
NON PRIME,202201,Total_Coverage_Ratio,0,999,CohortTrend,6,,Strong increasing trend (slope 0.017) - CR at 78% and rising - extrapolate trend
NON PRIME,202301,Total_Coverage_Ratio,0,999,CohortTrend,6,,Strong increasing trend (slope 0.018) - CR at 48% and rising - extrapolate trend
NON PRIME,202404,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.021) - CR at 30% - extrapolate trend
NON PRIME,202405,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.023) - CR at 32% - extrapolate trend
NON PRIME,202406,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.022) - CR at 27% - extrapolate trend
NON PRIME,202407,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.022) - CR at 25% - extrapolate trend
NON PRIME,202408,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.024) - CR at 25% - extrapolate trend
NON PRIME,202409,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.023) - CR at 22% - extrapolate trend
NON PRIME,202410,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.025) - CR at 20% - extrapolate trend
NON PRIME,202411,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.025) - CR at 17% - extrapolate trend
NON PRIME,202412,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.023) - CR at 14% - extrapolate trend
NON PRIME,202501,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.021) - CR at 10% - extrapolate trend
NON PRIME,202502,Total_Coverage_Ratio,0,999,CohortTrend,6,,Clear increasing trend (slope 0.023) - CR at 9% - extrapolate trend
