Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.89,Calibrated: was 0.93 with +4.3% over budget on full data
NON PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.89,Calibrated: was 0.93 with +4.3% over budget on full data
NRP-S,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.87,Calibrated: was 0.92 with +5.2% over budget on full data
NRP-S,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.87,Calibrated: was 0.92 with +5.2% over budget on full data
NRP-M,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.80,Calibrated: was 0.90 with +11.8% over budget on full data
NRP-M,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.80,Calibrated: was 0.90 with +11.8% over budget on full data
NRP-L,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.80,Calibrated: same as NRP-M
NRP-L,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.80,Calibrated: same as NRP-M
PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.69,Calibrated: was 0.75 with +9.0% over budget on full data
PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.69,Calibrated: was 0.75 with +9.0% over budget on full data
ALL,ALL,InterestRevenue,0,999,CohortAvg,6,,Revenue gap small (+3.9%) - keep pure historical average
ALL,ALL,WO_DebtSold,0,999,CohortAvg,6,,Historical writeoff patterns - no aggressive scaling
ALL,ALL,WO_Other,0,999,CohortAvg,6,,Historical writeoff patterns - no aggressive scaling
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,,Rolling average for settlements
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,,Rolling average for interest settlements
ALL,ALL,NewLoanAmount,0,999,Zero,,,No new loans in backbook forecast
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.85,,Policy assumption - 85% provision coverage for debt sale pool
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.9,,Policy assumption - 90p recovery per GBV sold
NON PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.50,Calibrated: was 1.20. Budget CR ~22% avg vs forecast ~18%. Need 1.5x uplift
NON PRIME,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.40,Calibrated: switched from CohortTrend. Need moderate uplift for mid-age
NON PRIME,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-S,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,2.50,Calibrated: was 1.20. Budget CR ~14% avg vs forecast ~8%. Need aggressive uplift
NRP-S,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,2.00,Calibrated: switched from CohortTrend. NRP-S needs most uplift
NRP-S,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-M,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,2.00,Calibrated: was 1.20. Budget CR ~12% avg vs forecast ~7%. Need strong uplift
NRP-M,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.70,Calibrated: switched from CohortTrend. NRP-M needs significant uplift
NRP-M,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-M,202001,Total_Coverage_Ratio,0,999,Manual,0,,Exception: This cohort has 0 CR historically
NRP-L,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,2.00,Calibrated: was 1.20. Same uplift as NRP-M
NRP-L,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.70,Calibrated: switched from CohortTrend
NRP-L,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202301,,Young: borrow from 202301 (only mature NRP-L)
NRP-L,202501,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202502,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202505,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202506,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.20,PRIME already close to budget - keep 1.20x
PRIME,ALL,Total_Coverage_Ratio,20,39,CohortTrend,6,,Mid-age: preserve upward trend extrapolation
PRIME,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
PRIME,202405,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202407,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202409,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,,Fallback: Rolling 6-period average for collections
ALL,ALL,Coll_Interest,0,999,CohortAvg,6,,Fallback: Rolling 6-period average for interest collections
ALL,ALL,Total_Coverage_Ratio,0,999,CohortAvg,6,,Fallback: rolling average for any undefined combination
