Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.89,Calibrated: matches budget collections within 0.6%
NON PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.89,Calibrated
NRP-S,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.87,Calibrated: matches budget within 0.3%
NRP-S,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.87,Calibrated
NRP-M,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.80,Calibrated: matches budget within 1.1%
NRP-M,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.80,Calibrated
NRP-L,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.80,Same as NRP-M
NRP-L,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.80,Same as NRP-M
PRIME,ALL,Coll_Principal,0,999,ScaledCohortAvg,6,0.69,Calibrated: matches budget within 1.7%
PRIME,ALL,Coll_Interest,0,999,ScaledCohortAvg,6,0.69,Calibrated
ALL,ALL,InterestRevenue,0,999,CohortAvg,6,,Revenue gap small - keep pure historical average
ALL,ALL,WO_DebtSold,0,999,CohortAvg,6,,Historical writeoff patterns
ALL,ALL,WO_Other,0,999,CohortAvg,6,,Historical writeoff patterns
ALL,ALL,ContraSettlements_Principal,0,999,CohortAvg,6,,Rolling average for settlements
ALL,ALL,ContraSettlements_Interest,0,999,CohortAvg,6,,Rolling average for interest settlements
ALL,ALL,NewLoanAmount,0,999,Zero,,,No new loans in backbook forecast
ALL,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.85,,Policy assumption
ALL,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.9,,Policy assumption
NON PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,3.50,v9d: Further increase from 2.80. Non Prime still 33% under budget impairment
NON PRIME,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,2.80,v9d: Further increase from 2.30. Need more impairment from mid-age cohorts
NON PRIME,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-S,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,2.00,v9d: Reduced from 2.30. NRP-S was 29% over budget
NRP-S,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.55,v9d: Reduced from 1.80. Need less impairment
NRP-S,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-M,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.40,v9d: Reduced from 1.70. NRP-M was 45% over budget
NRP-M,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.20,v9d: Reduced from 1.50
NRP-M,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
NRP-M,202001,Total_Coverage_Ratio,0,999,Manual,0,,Exception: This cohort has 0 CR historically
NRP-L,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.40,Same as NRP-M
NRP-L,ALL,Total_Coverage_Ratio,20,39,ScaledCohortAvg,6,1.20,Same as NRP-M
NRP-L,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202301,,Young: borrow from 202301 (only mature NRP-L)
NRP-L,202501,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202502,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202505,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202506,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
NRP-L,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,ALL,Total_Coverage_Ratio,40,999,ScaledCohortAvg,6,1.20,PRIME already close to budget
PRIME,ALL,Total_Coverage_Ratio,20,39,CohortTrend,6,,Mid-age: preserve upward trend extrapolation
PRIME,ALL,Total_Coverage_Ratio,0,19,DonorCohort,202101,,Young: borrow from mature 202101 cohort
PRIME,202405,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202407,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202409,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202504,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202507,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202508,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
PRIME,202509,Total_Coverage_Ratio,0,999,Manual,0,,Exception: CR consistently 0
ALL,ALL,Coll_Principal,0,999,CohortAvg,6,,Fallback: Rolling 6-period average for collections
ALL,ALL,Coll_Interest,0,999,CohortAvg,6,,Fallback: Rolling 6-period average for interest collections
ALL,ALL,Total_Coverage_Ratio,0,999,CohortAvg,6,,Fallback: rolling average for any undefined combination
